"Date","Parashah","Aliyah","Reading","Verses"
27-Feb-2027,"Ki Tisa",1,"Exodus 30:11-31:17",45
27-Feb-2027,"Ki Tisa",2,"Exodus 31:18-33:11",47
27-Feb-2027,"Ki Tisa",3,"Exodus 33:12-33:16",5
27-Feb-2027,"Ki Tisa",4,"Exodus 33:17-33:23",7
27-Feb-2027,"Ki Tisa",5,"Exodus 34:1-34:9",9
27-Feb-2027,"Ki Tisa",6,"Exodus 34:10-34:26",17
27-Feb-2027,"Ki Tisa",7,"Exodus 34:27-34:35",9
27-Feb-2027,"Ki Tisa","maf","Exodus 34:33-34:35",3
27-Feb-2027,"Ki Tisa","Haftara for Ashkenazim","I Kings 18:1-39",39
27-Feb-2027,"Ki Tisa","Haftara for Sephardim","I Kings 18:20-39",20

06-Mar-2027,"Vayakhel",1,"Exodus 35:1-35:20",20
06-Mar-2027,"Vayakhel",2,"Exodus 35:21-35:29",9
06-Mar-2027,"Vayakhel",3,"Exodus 35:30-36:7",13
06-Mar-2027,"Vayakhel",4,"Exodus 36:8-36:19",12
06-Mar-2027,"Vayakhel",5,"Exodus 36:20-37:16",35
06-Mar-2027,"Vayakhel",6,"Exodus 37:17-37:29",13
06-Mar-2027,"Vayakhel",7,"Exodus 38:1-38:20",20
06-Mar-2027,"Vayakhel","maf","Exodus 30:11-30:16 | Shabbat Shekalim",6
06-Mar-2027,"Vayakhel","Haftara for Ashkenazim","II Kings 12:1-17 | Shabbat Shekalim",17
06-Mar-2027,"Vayakhel","Haftara for Sephardim","II Kings 11:17-12:17 | Shabbat Shekalim",21

09-Mar-2027,"Rosh Chodesh Adar II",1,"Numbers 28:1-28:3",3
09-Mar-2027,"Rosh Chodesh Adar II",2,"Numbers 28:3-28:5",3
09-Mar-2027,"Rosh Chodesh Adar II",3,"Numbers 28:6-28:10",5
09-Mar-2027,"Rosh Chodesh Adar II",4,"Numbers 28:11-28:15",5

10-Mar-2027,"Rosh Chodesh Adar II",1,"Numbers 28:1-28:3",3
10-Mar-2027,"Rosh Chodesh Adar II",2,"Numbers 28:3-28:5",3
10-Mar-2027,"Rosh Chodesh Adar II",3,"Numbers 28:6-28:10",5
10-Mar-2027,"Rosh Chodesh Adar II",4,"Numbers 28:11-28:15",5

13-Mar-2027,"Pekudei",1,"Exodus 38:21-39:1",12
13-Mar-2027,"Pekudei",2,"Exodus 39:2-39:21",20
13-Mar-2027,"Pekudei",3,"Exodus 39:22-39:32",11
13-Mar-2027,"Pekudei",4,"Exodus 39:33-39:43",11
13-Mar-2027,"Pekudei",5,"Exodus 40:1-40:16",16
13-Mar-2027,"Pekudei",6,"Exodus 40:17-40:27",11
13-Mar-2027,"Pekudei",7,"Exodus 40:28-40:38",11
13-Mar-2027,"Pekudei","maf","Exodus 40:34-40:38",5
13-Mar-2027,"Pekudei","Haftara for Ashkenazim","I Kings 7:51-8:21",22
13-Mar-2027,"Pekudei","Haftara for Sephardim","I Kings 7:40-50",11

20-Mar-2027,"Vayikra",1,"Leviticus 1:1-1:13",13
20-Mar-2027,"Vayikra",2,"Leviticus 1:14-2:6",10
20-Mar-2027,"Vayikra",3,"Leviticus 2:7-2:16",10
20-Mar-2027,"Vayikra",4,"Leviticus 3:1-3:17",17
20-Mar-2027,"Vayikra",5,"Leviticus 4:1-4:26",26
20-Mar-2027,"Vayikra",6,"Leviticus 4:27-5:10",19
20-Mar-2027,"Vayikra",7,"Leviticus 5:11-5:26",16
20-Mar-2027,"Vayikra","maf","Deuteronomy 25:17-25:19 | Shabbat Zachor",3
20-Mar-2027,"Vayikra","Haftara for Ashkenazim","I Samuel 15:2-34 | Shabbat Zachor",33
20-Mar-2027,"Vayikra","Haftara for Sephardim","I Samuel 15:1-34 | Shabbat Zachor",34

22-Mar-2027,"Ta'anit Esther",1,"Exodus 32:11-32:14",4
22-Mar-2027,"Ta'anit Esther",2,"Exodus 34:1-34:3",3
22-Mar-2027,"Ta'anit Esther",3,"Exodus 34:4-34:10",7

22-Mar-2027,"Ta'anit Esther (Mincha)",1,"Exodus 32:11-32:14",4
22-Mar-2027,"Ta'anit Esther (Mincha)",2,"Exodus 34:1-34:3",3
22-Mar-2027,"Ta'anit Esther (Mincha)","maf","Exodus 34:4-34:10",7
22-Mar-2027,"Ta'anit Esther (Mincha)","Haftara","Isaiah 55:6-56:8",16

22-Mar-2027,"Erev Purim","Megillah Ch. 1","Esther 1:1-1:22",22
22-Mar-2027,"Erev Purim","Megillah Ch. 2","Esther 2:1-2:23",23
22-Mar-2027,"Erev Purim","Megillah Ch. 3","Esther 3:1-3:15",15
22-Mar-2027,"Erev Purim","Megillah Ch. 4","Esther 4:1-4:17",17
22-Mar-2027,"Erev Purim","Megillah Ch. 5","Esther 5:1-5:14",14
22-Mar-2027,"Erev Purim","Megillah Ch. 6","Esther 6:1-6:14",14
22-Mar-2027,"Erev Purim","Megillah Ch. 7","Esther 7:1-7:10",10
22-Mar-2027,"Erev Purim","Megillah Ch. 8","Esther 8:1-8:17",17
22-Mar-2027,"Erev Purim","Megillah Ch. 9","Esther 9:1-9:32",32
22-Mar-2027,"Erev Purim","Megillah Ch. 10","Esther 10:1-10:3",3

23-Mar-2027,"Purim",1,"Exodus 17:8-17:10",3
23-Mar-2027,"Purim",2,"Exodus 17:11-17:13",3
23-Mar-2027,"Purim",3,"Exodus 17:14-17:16",3
23-Mar-2027,"Purim","Megillah Ch. 1","Esther 1:1-1:22",22
23-Mar-2027,"Purim","Megillah Ch. 2","Esther 2:1-2:23",23
23-Mar-2027,"Purim","Megillah Ch. 3","Esther 3:1-3:15",15
23-Mar-2027,"Purim","Megillah Ch. 4","Esther 4:1-4:17",17
23-Mar-2027,"Purim","Megillah Ch. 5","Esther 5:1-5:14",14
23-Mar-2027,"Purim","Megillah Ch. 6","Esther 6:1-6:14",14
23-Mar-2027,"Purim","Megillah Ch. 7","Esther 7:1-7:10",10
23-Mar-2027,"Purim","Megillah Ch. 8","Esther 8:1-8:17",17
23-Mar-2027,"Purim","Megillah Ch. 9","Esther 9:1-9:32",32
23-Mar-2027,"Purim","Megillah Ch. 10","Esther 10:1-10:3",3

27-Mar-2027,"Tzav",1,"Leviticus 6:1-6:11",11
27-Mar-2027,"Tzav",2,"Leviticus 6:12-7:10",22
27-Mar-2027,"Tzav",3,"Leviticus 7:11-7:38",28
27-Mar-2027,"Tzav",4,"Leviticus 8:1-8:13",13
27-Mar-2027,"Tzav",5,"Leviticus 8:14-8:21",8
27-Mar-2027,"Tzav",6,"Leviticus 8:22-8:29",8
27-Mar-2027,"Tzav",7,"Leviticus 8:30-8:36",7
27-Mar-2027,"Tzav","maf","Numbers 19:1-19:22 | Shabbat Parah",22
27-Mar-2027,"Tzav","Haftara for Ashkenazim","Ezekiel 36:16-38 | Shabbat Parah",23
27-Mar-2027,"Tzav","Haftara for Sephardim","Ezekiel 36:16-36 | Shabbat Parah",21

03-Apr-2027,"Shmini",1,"Leviticus 9:1-9:16",16
03-Apr-2027,"Shmini",2,"Leviticus 9:17-9:23",7
03-Apr-2027,"Shmini",3,"Leviticus 9:24-10:11",12
03-Apr-2027,"Shmini",4,"Leviticus 10:12-10:15",4
03-Apr-2027,"Shmini",5,"Leviticus 10:16-10:20",5
03-Apr-2027,"Shmini",6,"Leviticus 11:1-11:32",32
03-Apr-2027,"Shmini",7,"Leviticus 11:33-11:47",15
03-Apr-2027,"Shmini","maf","Exodus 12:1-12:20 | Shabbat HaChodesh",20
03-Apr-2027,"Shmini","Haftara for Ashkenazim","Ezekiel 45:16-46:18 | Shabbat HaChodesh",28
03-Apr-2027,"Shmini","Haftara for Sephardim","Ezekiel 45:18-46:15 | Shabbat HaChodesh",23

08-Apr-2027,"Rosh Chodesh Nisan",1,"Numbers 28:1-28:3",3
08-Apr-2027,"Rosh Chodesh Nisan",2,"Numbers 28:3-28:5",3
08-Apr-2027,"Rosh Chodesh Nisan",3,"Numbers 28:6-28:10",5
08-Apr-2027,"Rosh Chodesh Nisan",4,"Numbers 28:11-28:15",5

10-Apr-2027,"Tazria",1,"Leviticus 12:1-13:5",13
10-Apr-2027,"Tazria",2,"Leviticus 13:6-13:17",12
10-Apr-2027,"Tazria",3,"Leviticus 13:18-13:23",6
10-Apr-2027,"Tazria",4,"Leviticus 13:24-13:28",5
10-Apr-2027,"Tazria",5,"Leviticus 13:29-13:39",11
10-Apr-2027,"Tazria",6,"Leviticus 13:40-13:54",15
10-Apr-2027,"Tazria",7,"Leviticus 13:55-13:59",5
10-Apr-2027,"Tazria","maf","Leviticus 13:57-13:59",3
10-Apr-2027,"Tazria","Haftara","II Kings 4:42-5:19",22

17-Apr-2027,"Metzora",1,"Leviticus 14:1-14:12",12
17-Apr-2027,"Metzora",2,"Leviticus 14:13-14:20",8
17-Apr-2027,"Metzora",3,"Leviticus 14:21-14:32",12
17-Apr-2027,"Metzora",4,"Leviticus 14:33-14:53",21
17-Apr-2027,"Metzora",5,"Leviticus 14:54-15:15",19
17-Apr-2027,"Metzora",6,"Leviticus 15:16-15:28",13
17-Apr-2027,"Metzora",7,"Leviticus 15:29-15:33",5
17-Apr-2027,"Metzora","maf","Leviticus 15:31-15:33",3
17-Apr-2027,"Metzora","Haftara","Malachi 3:4-24 | Shabbat HaGadol",21

22-Apr-2027,"Pesach I",1,"Exodus 12:21-12:24",4
22-Apr-2027,"Pesach I",2,"Exodus 12:25-12:28",4
22-Apr-2027,"Pesach I",3,"Exodus 12:29-12:36",8
22-Apr-2027,"Pesach I",4,"Exodus 12:37-12:42",6
22-Apr-2027,"Pesach I",5,"Exodus 12:43-12:51",9
22-Apr-2027,"Pesach I","maf","Numbers 28:16-28:25",10
22-Apr-2027,"Pesach I","Haftara for Ashkenazim","Joshua 3:5-7; 5:2-6:1; 6:27",19
22-Apr-2027,"Pesach I","Haftara for Sephardim","Joshua 5:2-6:1; 6:27",16

23-Apr-2027,"Pesach II",1,"Leviticus 22:26-23:3",11
23-Apr-2027,"Pesach II",2,"Leviticus 23:4-23:14",11
23-Apr-2027,"Pesach II",3,"Leviticus 23:15-23:22",8
23-Apr-2027,"Pesach II",4,"Leviticus 23:23-23:32",10
23-Apr-2027,"Pesach II",5,"Leviticus 23:33-23:44",12
23-Apr-2027,"Pesach II","maf","Numbers 28:16-28:25",10
23-Apr-2027,"Pesach II","Haftara","II Kings 23:1-9; 23:21-25",14

24-Apr-2027,"Pesach Shabbat Chol ha-Moed",1,"Exodus 33:12-33:16",5
24-Apr-2027,"Pesach Shabbat Chol ha-Moed",2,"Exodus 33:17-33:19",3
24-Apr-2027,"Pesach Shabbat Chol ha-Moed",3,"Exodus 33:20-33:23",4
24-Apr-2027,"Pesach Shabbat Chol ha-Moed",4,"Exodus 34:1-34:3",3
24-Apr-2027,"Pesach Shabbat Chol ha-Moed",5,"Exodus 34:4-34:10",7
24-Apr-2027,"Pesach Shabbat Chol ha-Moed",6,"Exodus 34:11-34:17",7
24-Apr-2027,"Pesach Shabbat Chol ha-Moed",7,"Exodus 34:18-34:26",9
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","maf","Numbers 28:19-28:25",7
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Haftara","Ezekiel 37:1-14",14
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 1","Song of Songs 1:1-1:17",17
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 2","Song of Songs 2:1-2:17",17
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 3","Song of Songs 3:1-3:11",11
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 4","Song of Songs 4:1-4:16",16
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 5","Song of Songs 5:1-5:16",16
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 6","Song of Songs 6:1-6:12",12
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 7","Song of Songs 7:1-7:14",14
24-Apr-2027,"Pesach Shabbat Chol ha-Moed","Megillah Ch. 8","Song of Songs 8:1-8:14",14

25-Apr-2027,"Pesach Chol ha-Moed Day 2 on Sunday",1,"Exodus 13:1-13:4",4
25-Apr-2027,"Pesach Chol ha-Moed Day 2 on Sunday",2,"Exodus 13:5-13:10",6
25-Apr-2027,"Pesach Chol ha-Moed Day 2 on Sunday",3,"Exodus 13:11-13:16",6
25-Apr-2027,"Pesach Chol ha-Moed Day 2 on Sunday",4,"Numbers 28:19-28:25",7

26-Apr-2027,"Pesach Chol ha-Moed Day 3 on Monday",1,"Exodus 22:24-22:26",3
26-Apr-2027,"Pesach Chol ha-Moed Day 3 on Monday",2,"Exodus 22:27-23:5",9
26-Apr-2027,"Pesach Chol ha-Moed Day 3 on Monday",3,"Exodus 23:6-23:19",14
26-Apr-2027,"Pesach Chol ha-Moed Day 3 on Monday",4,"Numbers 28:19-28:25",7

27-Apr-2027,"Pesach Chol ha-Moed Day 4",1,"Numbers 9:1-9:5",5
27-Apr-2027,"Pesach Chol ha-Moed Day 4",2,"Numbers 9:6-9:8",3
27-Apr-2027,"Pesach Chol ha-Moed Day 4",3,"Numbers 9:9-9:14",6
27-Apr-2027,"Pesach Chol ha-Moed Day 4",4,"Numbers 28:19-28:25",7

28-Apr-2027,"Pesach VII",1,"Exodus 13:17-13:22",6
28-Apr-2027,"Pesach VII",2,"Exodus 14:1-14:8",8
28-Apr-2027,"Pesach VII",3,"Exodus 14:9-14:14",6
28-Apr-2027,"Pesach VII",4,"Exodus 14:15-14:25",11
28-Apr-2027,"Pesach VII",5,"Exodus 14:26-15:26",32
28-Apr-2027,"Pesach VII","maf","Numbers 28:19-28:25",7
28-Apr-2027,"Pesach VII","Haftara","II Samuel 22:1-51",51

29-Apr-2027,"Pesach VIII",1,"Deuteronomy 15:19-15:23",5
29-Apr-2027,"Pesach VIII",2,"Deuteronomy 16:1-16:3",3
29-Apr-2027,"Pesach VIII",3,"Deuteronomy 16:4-16:8",5
29-Apr-2027,"Pesach VIII",4,"Deuteronomy 16:9-16:12",4
29-Apr-2027,"Pesach VIII",5,"Deuteronomy 16:13-16:17",5
29-Apr-2027,"Pesach VIII","maf","Numbers 28:19-28:25",7
29-Apr-2027,"Pesach VIII","Haftara","Isaiah 10:32-12:6",25

01-May-2027,"Achrei Mot",1,"Leviticus 16:1-16:17",17
01-May-2027,"Achrei Mot",2,"Leviticus 16:18-16:24",7
01-May-2027,"Achrei Mot",3,"Leviticus 16:25-16:34",10
01-May-2027,"Achrei Mot",4,"Leviticus 17:1-17:7",7
01-May-2027,"Achrei Mot",5,"Leviticus 17:8-18:5",14
01-May-2027,"Achrei Mot",6,"Leviticus 18:6-18:21",16
01-May-2027,"Achrei Mot",7,"Leviticus 18:22-18:30",9
01-May-2027,"Achrei Mot","maf","Leviticus 18:28-18:30",3
01-May-2027,"Achrei Mot","Haftara for Ashkenazim","Amos 9:7-15",9
01-May-2027,"Achrei Mot","Haftara for Sephardim","Ezekiel 22:1-16",16

07-May-2027,"Rosh Chodesh Iyyar",1,"Numbers 28:1-28:3",3
07-May-2027,"Rosh Chodesh Iyyar",2,"Numbers 28:3-28:5",3
07-May-2027,"Rosh Chodesh Iyyar",3,"Numbers 28:6-28:10",5
07-May-2027,"Rosh Chodesh Iyyar",4,"Numbers 28:11-28:15",5

08-May-2027,"Kedoshim",1,"Leviticus 19:1-19:14",14
08-May-2027,"Kedoshim",2,"Leviticus 19:15-19:22",8
08-May-2027,"Kedoshim",3,"Leviticus 19:23-19:32",10
08-May-2027,"Kedoshim",4,"Leviticus 19:33-19:37",5
08-May-2027,"Kedoshim",5,"Leviticus 20:1-20:7",7
08-May-2027,"Kedoshim",6,"Leviticus 20:8-20:22",15
08-May-2027,"Kedoshim",7,"Leviticus 20:23-20:27",5
08-May-2027,"Kedoshim","maf","Numbers 28:9-28:15 | Shabbat Rosh Chodesh",7
08-May-2027,"Kedoshim","Haftara","Isaiah 66:1-24 | Shabbat Rosh Chodesh",24

15-May-2027,"Emor",1,"Leviticus 21:1-21:15",15
15-May-2027,"Emor",2,"Leviticus 21:16-22:16",25
15-May-2027,"Emor",3,"Leviticus 22:17-22:33",17
15-May-2027,"Emor",4,"Leviticus 23:1-23:22",22
15-May-2027,"Emor",5,"Leviticus 23:23-23:32",10
15-May-2027,"Emor",6,"Leviticus 23:33-23:44",12
15-May-2027,"Emor",7,"Leviticus 24:1-24:23",23
15-May-2027,"Emor","maf","Leviticus 24:21-24:23",3
15-May-2027,"Emor","Haftara","Ezekiel 44:15-31",17

22-May-2027,"Behar",1,"Leviticus 25:1-25:13",13
22-May-2027,"Behar",2,"Leviticus 25:14-25:18",5
22-May-2027,"Behar",3,"Leviticus 25:19-25:24",6
22-May-2027,"Behar",4,"Leviticus 25:25-25:28",4
22-May-2027,"Behar",5,"Leviticus 25:29-25:38",10
22-May-2027,"Behar",6,"Leviticus 25:39-25:46",8
22-May-2027,"Behar",7,"Leviticus 25:47-26:2",11
22-May-2027,"Behar","maf","Leviticus 25:55-26:2",3
22-May-2027,"Behar","Haftara","Jeremiah 32:6-27",22

29-May-2027,"Bechukotai",1,"Leviticus 26:3-26:5",3
29-May-2027,"Bechukotai",2,"Leviticus 26:6-26:9",4
29-May-2027,"Bechukotai",3,"Leviticus 26:10-26:46",37
29-May-2027,"Bechukotai",4,"Leviticus 27:1-27:15",15
29-May-2027,"Bechukotai",5,"Leviticus 27:16-27:21",6
29-May-2027,"Bechukotai",6,"Leviticus 27:22-27:28",7
29-May-2027,"Bechukotai",7,"Leviticus 27:29-27:34",6
29-May-2027,"Bechukotai","maf","Leviticus 27:32-27:34",3
29-May-2027,"Bechukotai","Haftara","Jeremiah 16:19-17:14",17

05-Jun-2027,"Bamidbar",1,"Numbers 1:1-1:19",19
05-Jun-2027,"Bamidbar",2,"Numbers 1:20-1:54",35
05-Jun-2027,"Bamidbar",3,"Numbers 2:1-2:34",34
05-Jun-2027,"Bamidbar",4,"Numbers 3:1-3:13",13
05-Jun-2027,"Bamidbar",5,"Numbers 3:14-3:39",26
05-Jun-2027,"Bamidbar",6,"Numbers 3:40-3:51",12
05-Jun-2027,"Bamidbar",7,"Numbers 4:1-4:20",20
05-Jun-2027,"Bamidbar","maf","Numbers 4:17-4:20",4
05-Jun-2027,"Bamidbar","Haftara","I Samuel 20:18-42 | Shabbat Machar Chodesh",25

06-Jun-2027,"Rosh Chodesh Sivan",1,"Numbers 28:1-28:3",3
06-Jun-2027,"Rosh Chodesh Sivan",2,"Numbers 28:3-28:5",3
06-Jun-2027,"Rosh Chodesh Sivan",3,"Numbers 28:6-28:10",5
06-Jun-2027,"Rosh Chodesh Sivan",4,"Numbers 28:11-28:15",5

11-Jun-2027,"Shavuot I",1,"Exodus 19:1-19:6",6
11-Jun-2027,"Shavuot I",2,"Exodus 19:7-19:13",7
11-Jun-2027,"Shavuot I",3,"Exodus 19:14-19:19",6
11-Jun-2027,"Shavuot I",4,"Exodus 19:20-20:14",20
11-Jun-2027,"Shavuot I",5,"Exodus 20:15-20:23",9
11-Jun-2027,"Shavuot I","maf","Numbers 28:26-28:31",6
11-Jun-2027,"Shavuot I","Haftara","Ezekiel 1:1-28; 3:12",29

12-Jun-2027,"Shavuot II (on Shabbat)",1,"Deuteronomy 14:22-14:29",8
12-Jun-2027,"Shavuot II (on Shabbat)",2,"Deuteronomy 15:1-15:18",18
12-Jun-2027,"Shavuot II (on Shabbat)",3,"Deuteronomy 15:19-15:23",5
12-Jun-2027,"Shavuot II (on Shabbat)",4,"Deuteronomy 16:1-16:3",3
12-Jun-2027,"Shavuot II (on Shabbat)",5,"Deuteronomy 16:4-16:8",5
12-Jun-2027,"Shavuot II (on Shabbat)",6,"Deuteronomy 16:9-16:12",4
12-Jun-2027,"Shavuot II (on Shabbat)",7,"Deuteronomy 16:13-16:17",5
12-Jun-2027,"Shavuot II (on Shabbat)","maf","Numbers 28:26-28:31",6
12-Jun-2027,"Shavuot II (on Shabbat)","Haftara for Ashkenazim","Habakkuk 3:1-19",19
12-Jun-2027,"Shavuot II (on Shabbat)","Haftara for Sephardim","Habakkuk 2:20-3:19",20
12-Jun-2027,"Shavuot II (on Shabbat)","Megillah Ch. 1","Ruth 1:1-1:22",22
12-Jun-2027,"Shavuot II (on Shabbat)","Megillah Ch. 2","Ruth 2:1-2:23",23
12-Jun-2027,"Shavuot II (on Shabbat)","Megillah Ch. 3","Ruth 3:1-3:18",18
12-Jun-2027,"Shavuot II (on Shabbat)","Megillah Ch. 4","Ruth 4:1-4:22",22

19-Jun-2027,"Nasso",1,"Numbers 4:21-4:37",17
19-Jun-2027,"Nasso",2,"Numbers 4:38-4:49",12
19-Jun-2027,"Nasso",3,"Numbers 5:1-5:10",10
19-Jun-2027,"Nasso",4,"Numbers 5:11-6:27",48
19-Jun-2027,"Nasso",5,"Numbers 7:1-7:41",41
19-Jun-2027,"Nasso",6,"Numbers 7:42-7:71",30
19-Jun-2027,"Nasso",7,"Numbers 7:72-7:89",18
19-Jun-2027,"Nasso","maf","Numbers 7:87-7:89",3
19-Jun-2027,"Nasso","Haftara","Judges 13:2-25",24

26-Jun-2027,"Beha'alotcha",1,"Numbers 8:1-8:14",14
26-Jun-2027,"Beha'alotcha",2,"Numbers 8:15-8:26",12
26-Jun-2027,"Beha'alotcha",3,"Numbers 9:1-9:14",14
26-Jun-2027,"Beha'alotcha",4,"Numbers 9:15-10:10",19
26-Jun-2027,"Beha'alotcha",5,"Numbers 10:11-10:34",24
26-Jun-2027,"Beha'alotcha",6,"Numbers 10:35-11:29",31
26-Jun-2027,"Beha'alotcha",7,"Numbers 11:30-12:16",22
26-Jun-2027,"Beha'alotcha","maf","Numbers 12:14-12:16",3
26-Jun-2027,"Beha'alotcha","Haftara","Zechariah 2:14-4:7",21

03-Jul-2027,"Sh'lach",1,"Numbers 13:1-13:20",20
03-Jul-2027,"Sh'lach",2,"Numbers 13:21-14:7",20
03-Jul-2027,"Sh'lach",3,"Numbers 14:8-14:25",18
03-Jul-2027,"Sh'lach",4,"Numbers 14:26-15:7",27
03-Jul-2027,"Sh'lach",5,"Numbers 15:8-15:16",9
03-Jul-2027,"Sh'lach",6,"Numbers 15:17-15:26",10
03-Jul-2027,"Sh'lach",7,"Numbers 15:27-15:41",15
03-Jul-2027,"Sh'lach","maf","Numbers 15:37-15:41",5
03-Jul-2027,"Sh'lach","Haftara","Joshua 2:1-24",24

05-Jul-2027,"Rosh Chodesh Tamuz",1,"Numbers 28:1-28:3",3
05-Jul-2027,"Rosh Chodesh Tamuz",2,"Numbers 28:3-28:5",3
05-Jul-2027,"Rosh Chodesh Tamuz",3,"Numbers 28:6-28:10",5
05-Jul-2027,"Rosh Chodesh Tamuz",4,"Numbers 28:11-28:15",5

06-Jul-2027,"Rosh Chodesh Tamuz",1,"Numbers 28:1-28:3",3
06-Jul-2027,"Rosh Chodesh Tamuz",2,"Numbers 28:3-28:5",3
06-Jul-2027,"Rosh Chodesh Tamuz",3,"Numbers 28:6-28:10",5
06-Jul-2027,"Rosh Chodesh Tamuz",4,"Numbers 28:11-28:15",5

10-Jul-2027,"Korach",1,"Numbers 16:1-16:13",13
10-Jul-2027,"Korach",2,"Numbers 16:14-16:19",6
10-Jul-2027,"Korach",3,"Numbers 16:20-17:8",24
10-Jul-2027,"Korach",4,"Numbers 17:9-17:15",7
10-Jul-2027,"Korach",5,"Numbers 17:16-17:24",9
10-Jul-2027,"Korach",6,"Numbers 17:25-18:20",24
10-Jul-2027,"Korach",7,"Numbers 18:21-18:32",12
10-Jul-2027,"Korach","maf","Numbers 18:30-18:32",3
10-Jul-2027,"Korach","Haftara","I Samuel 11:14-12:22",24

17-Jul-2027,"Chukat-Balak",1,"Numbers 19:1-20:6",28
17-Jul-2027,"Chukat-Balak",2,"Numbers 20:7-20:21",15
17-Jul-2027,"Chukat-Balak",3,"Numbers 20:22-21:20",28
17-Jul-2027,"Chukat-Balak",4,"Numbers 21:21-22:12",27
17-Jul-2027,"Chukat-Balak",5,"Numbers 22:13-22:38",26
17-Jul-2027,"Chukat-Balak",6,"Numbers 22:39-23:26",29
17-Jul-2027,"Chukat-Balak",7,"Numbers 23:27-25:9",38
17-Jul-2027,"Chukat-Balak","maf","Numbers 25:7-25:9",3
17-Jul-2027,"Chukat-Balak","Haftara","Micah 5:6-6:8",17

22-Jul-2027,"Tzom Tammuz",1,"Exodus 32:11-32:14",4
22-Jul-2027,"Tzom Tammuz",2,"Exodus 34:1-34:3",3
22-Jul-2027,"Tzom Tammuz",3,"Exodus 34:4-34:10",7

22-Jul-2027,"Tzom Tammuz (Mincha)",1,"Exodus 32:11-32:14",4
22-Jul-2027,"Tzom Tammuz (Mincha)",2,"Exodus 34:1-34:3",3
22-Jul-2027,"Tzom Tammuz (Mincha)","maf","Exodus 34:4-34:10",7
22-Jul-2027,"Tzom Tammuz (Mincha)","Haftara","Isaiah 55:6-56:8",16

24-Jul-2027,"Pinchas",1,"Numbers 25:10-26:4",14
24-Jul-2027,"Pinchas",2,"Numbers 26:5-26:51",47
24-Jul-2027,"Pinchas",3,"Numbers 26:52-27:5",19
24-Jul-2027,"Pinchas",4,"Numbers 27:6-27:23",18
24-Jul-2027,"Pinchas",5,"Numbers 28:1-28:15",15
24-Jul-2027,"Pinchas",6,"Numbers 28:16-29:11",27
24-Jul-2027,"Pinchas",7,"Numbers 29:12-30:1",29
24-Jul-2027,"Pinchas","maf","Numbers 29:35-30:1",6
24-Jul-2027,"Pinchas","Haftara","Jeremiah 1:1-2:3 | Pinchas occurring after 17 Tammuz",22

31-Jul-2027,"Matot-Masei",1,"Numbers 30:2-31:12",28
31-Jul-2027,"Matot-Masei",2,"Numbers 31:13-31:54",42
31-Jul-2027,"Matot-Masei",3,"Numbers 32:1-32:19",19
31-Jul-2027,"Matot-Masei",4,"Numbers 32:20-33:49",72
31-Jul-2027,"Matot-Masei",5,"Numbers 33:50-34:15",22
31-Jul-2027,"Matot-Masei",6,"Numbers 34:16-35:8",22
31-Jul-2027,"Matot-Masei",7,"Numbers 35:9-36:13",39
31-Jul-2027,"Matot-Masei","maf","Numbers 36:11-36:13",3
31-Jul-2027,"Matot-Masei","Haftara for Ashkenazim","Jeremiah 2:4-28; 3:4",26
31-Jul-2027,"Matot-Masei","Haftara for Sephardim","Jeremiah 2:4-28; 4:1-2",27

04-Aug-2027,"Rosh Chodesh Av",1,"Numbers 28:1-28:3",3
04-Aug-2027,"Rosh Chodesh Av",2,"Numbers 28:3-28:5",3
04-Aug-2027,"Rosh Chodesh Av",3,"Numbers 28:6-28:10",5
04-Aug-2027,"Rosh Chodesh Av",4,"Numbers 28:11-28:15",5

07-Aug-2027,"Devarim",1,"Deuteronomy 1:1-1:10",10
07-Aug-2027,"Devarim",2,"Deuteronomy 1:11-1:21",11
07-Aug-2027,"Devarim",3,"Deuteronomy 1:22-1:38",17
07-Aug-2027,"Devarim",4,"Deuteronomy 1:39-2:1",9
07-Aug-2027,"Devarim",5,"Deuteronomy 2:2-2:30",29
07-Aug-2027,"Devarim",6,"Deuteronomy 2:31-3:14",21
07-Aug-2027,"Devarim",7,"Deuteronomy 3:15-3:22",8
07-Aug-2027,"Devarim","maf","Deuteronomy 3:20-3:22",3
07-Aug-2027,"Devarim","Haftara","Isaiah 1:1-27",27

11-Aug-2027,"Erev Tish'a B'Av","Megillah Ch. 1","Lamentations 1:1-1:22",22
11-Aug-2027,"Erev Tish'a B'Av","Megillah Ch. 2","Lamentations 2:1-2:22",22
11-Aug-2027,"Erev Tish'a B'Av","Megillah Ch. 3","Lamentations 3:1-3:66",66
